accuracy,macro_f1,weighted_f1,precision,recall,FS,FE,CLF,fold
0.8902842035690681,0.7126107334898215,0.9090055096168221,0.6455083798621648,0.9546689980047265,VT,PCA,DT,1
0.8541528971139017,0.6021981702936781,0.8775389950645311,0.5334218136636002,0.780083281372441,VT,PCA,DT,2
0.8814716897995153,0.6636151842205745,0.9000914570292434,0.6007309275018592,0.8116055961103812,VT,PCA,DT,3
0.871749669457911,0.6572214747303202,0.8938161378383536,0.5998968770801698,0.8115450068800897,VT,PCA,DT,4
0.871529308065227,0.6544959204799627,0.8930605131522792,0.5845368258180113,0.8384746013341418,VT,PCA,DT,5
0.8794888742013659,0.7021221962866243,0.8971060073372448,0.6183526779354177,0.9489919845757664,VT,PCA,DT,6
0.8797091870456047,0.6833522348142628,0.900067418868129,0.6108807718658247,0.9471268677718836,VT,PCA,DT,7
0.8783873099801719,0.6520580362610395,0.8975566295967821,0.5960195575535234,0.790808065614693,VT,PCA,DT,8
0.8902600264433671,0.6717493313940717,0.9070417224821444,0.6019500255394306,0.8236549584089383,VT,PCA,DT,9
0.8871749669457911,0.6732751997173538,0.905203685124804,0.6168413170173015,0.8024039754015492,VT,PCA,DT,10
0.8898435778805904,0.6904258984552551,0.9088713928027995,0.6279208128642504,0.9281473755040184,VT,PCA,DT,11
0.88433575677462,0.6518879655653627,0.901500247658673,0.585583323595368,0.8026414681582432,VT,PCA,DT,12
0.8905045164133069,0.7338344652463922,0.9064072514378001,0.6467926746803917,0.9452250366154991,VT,PCA,DT,13
0.881004847950639,0.6608180878990217,0.8994202352223133,0.586628569731718,0.8394700257580537,VT,PCA,DT,14
0.880784486557955,0.6583129641565962,0.900470609956043,0.6074210280814404,0.80413859048809,VT,PCA,DT,15
0.8349856796651245,0.6736430981389346,0.8659816186754911,0.615726868481343,0.8398853801396787,VT,PCA,LR,1
0.8444591319673938,0.6661386962927154,0.8760998360188506,0.6086213549626165,0.8390749096449084,VT,PCA,LR,2
0.8521700815157524,0.6701486564284473,0.8820765878978268,0.6071534388223855,0.8436410654056773,VT,PCA,LR,3
0.8580872631115029,0.7794897067361521,0.8810394775405989,0.7038923692620559,0.9677785500502936,VT,PCA,LR,4
0.8605112384310268,0.6741204233009794,0.8881257139071661,0.6182555287479015,0.8482101293415968,VT,PCA,LR,5
0.8515091429830359,0.670741728126881,0.8801012006826111,0.6220022897520261,0.8362185600431691,VT,PCA,LR,6
0.8468825732540207,0.67455441468852,0.8768135517670272,0.6221501139356658,0.844208966621214,VT,PCA,LR,7
0.8356466181978409,0.6506463221429848,0.8681378087613708,0.595589187104895,0.8369523753733665,VT,PCA,LR,8
0.8516967827236668,0.7675077583432006,0.8798256820456993,0.704138642508916,0.9659705975350231,VT,PCA,LR,9
0.8461877479065668,0.6753801653035316,0.8772961031441185,0.6279120815502729,0.8376664835402947,VT,PCA,LR,10
0.8424763163692444,0.6725250947483923,0.8727290092582083,0.6242350057358412,0.833710042258156,VT,PCA,LR,11
0.8413747521480502,0.6607511272902619,0.8707968842432152,0.5978336104408777,0.8381215510852557,VT,PCA,LR,12
0.8530513328927076,0.6727599848365927,0.880961371360776,0.6145373789773865,0.841903719070178,VT,PCA,LR,13
0.8347289554869987,0.747397127431457,0.8655489697678235,0.6839394365536028,0.9566160831161404,VT,PCA,LR,14
0.8539003966505069,0.7780918377183955,0.8819528085027201,0.7107538452288749,0.965135905546995,VT,PCA,LR,15
0.8750826173165895,0.6827010230363675,0.8983817967936227,0.6218214275657024,0.8470110948755668,VT,PCA,KNN,1
0.8823529411764706,0.6855859324238699,0.9052364728207338,0.6474334259488754,0.8318223978661332,VT,PCA,KNN,2
0.8993170301828597,0.6991279007407738,0.9182234112662012,0.6386122099459859,0.8560585715854828,VT,PCA,KNN,3
0.8889378580872631,0.7903865145092596,0.9080543543103277,0.719640466432485,0.9700302806719104,VT,PCA,KNN,4
0.9017188188629353,0.7949550610806794,0.9204545856490158,0.7363545416684814,0.9574597476336815,VT,PCA,KNN,5
0.8990967173386208,0.6979864533077405,0.9173804617498061,0.6468915791682711,0.842191786974841,VT,PCA,KNN,6
0.8867591980612469,0.6872917782501597,0.9083767806081569,0.6301210804451122,0.8470769635461027,VT,PCA,KNN,7
0.8885217008151576,0.686216076150231,0.9114298081780723,0.6374400507119847,0.8297023060139648,VT,PCA,KNN,8
0.8869546055531071,0.7931986744607566,0.9076391864486468,0.7373368591447834,0.9599016213080876,VT,PCA,KNN,9
0.8940061701189952,0.8004986215564455,0.9125742571999368,0.7352912791627201,0.9667411117909824,VT,PCA,KNN,10
0.8924873320114562,0.7022429032362306,0.9143167277766975,0.6622735065799586,0.8442113968150499,VT,PCA,KNN,11
0.8858779466842917,0.6853510080249057,0.907117170054055,0.6289087125436713,0.8400071389722501,VT,PCA,KNN,12
0.900198281559815,0.6721271314450616,0.9178119316876318,0.601481604435987,0.8525850083102172,VT,PCA,KNN,13
0.8856324371970031,0.7841350803612152,0.9056142588255687,0.7128781465269086,0.9656285550122278,VT,PCA,KNN,14
0.8935654473336272,0.7909461128791325,0.9140854674071904,0.7387416882547332,0.953736827939904,VT,PCA,KNN,15
0.5910993610927517,0.4534542488608183,0.6562585663638727,0.41050176279023365,0.7931455417588684,VT,PCA,NB,1
0.6567525886759198,0.49013410841103217,0.722020356451272,0.4313484545443218,0.9106318697861377,VT,PCA,NB,2
0.663802599691562,0.45660697521652993,0.7298262931254632,0.41306280683164953,0.7680170352022607,VT,PCA,NB,3
0.6787130894667255,0.48549289247451344,0.7387639118771668,0.4276743424029747,0.7834361491164383,VT,PCA,NB,4
0.5843984133979727,0.4447838914758953,0.6599457006370493,0.4214278204603924,0.7738780157397951,VT,PCA,NB,5
0.643093192333113,0.46680013754819283,0.7098242971613344,0.4140596744887124,0.9026243879131326,VT,PCA,NB,6
0.6452963207755013,0.45386515041736164,0.7110905255906768,0.40670643958373964,0.7808531005098513,VT,PCA,NB,7
0.6206212822207535,0.4399547038007965,0.6848164576753187,0.39374107839809325,0.7729445641218808,VT,PCA,NB,8
0.5947553988541208,0.44132495282363315,0.661683375092766,0.3982128333598471,0.7790634462938204,VT,PCA,NB,9
0.6342000881445571,0.46542856962196977,0.6996393081315203,0.41532461250264013,0.7859517690855209,VT,PCA,NB,10
0.6318572372769332,0.44992042829946466,0.6973223390316841,0.40318862452493787,0.7799523342197348,VT,PCA,NB,11
0.6411103767349636,0.44929619609089594,0.7071651173862505,0.4056385382746926,0.7762471862306151,VT,PCA,NB,12
0.6243666005728133,0.45058571131552116,0.690964579093808,0.4055512327892768,0.7841532291837452,VT,PCA,NB,13
0.627809607756721,0.4464497109182972,0.6931223225317035,0.4005535382184187,0.7778244426925851,VT,PCA,NB,14
0.6606434552666373,0.5011694389512324,0.7247788702652546,0.4602958324466613,0.7732917820414418,VT,PCA,NB,15
0.7250495703899538,0.6154299721596955,0.7918763162914433,0.5923645453507325,0.8276427826265832,VT,PCA,SVM,1
0.7301167658074466,0.6084073640141157,0.7969028246182984,0.5979604405892581,0.8097661427598907,VT,PCA,SVM,2
0.7263714474553866,0.6086702726605181,0.7931009030892042,0.5875037520602967,0.8195576975350272,VT,PCA,SVM,3
0.754297047157338,0.6983981744144678,0.8116573758968041,0.6629102513202126,0.9313342686459934,VT,PCA,SVM,4
0.7302776553547818,0.705424167182857,0.796080078807977,0.6792347898328223,0.9466054769485436,VT,PCA,SVM,5
0.7376074025115664,0.6158138918736867,0.802460430441371,0.5984250183369915,0.8163416030726439,VT,PCA,SVM,6
0.7305573914959242,0.609635460125213,0.7947531801160977,0.5885676806293638,0.8103155468880439,VT,PCA,SVM,7
0.7241683190129985,0.6057147880256928,0.7904629624160863,0.58510384479361,0.8160950473317417,VT,PCA,SVM,8
0.7304980167474658,0.7011805176234828,0.7940905189352363,0.6700167753603657,0.94690934880938,VT,PCA,SVM,9
0.7373292199206699,0.6989153247813947,0.8012959592880258,0.6827424324733258,0.9307349836273373,VT,PCA,SVM,10
0.7378277153558053,0.6157785169385046,0.8015601730381786,0.598264553357118,0.8207120705233526,VT,PCA,SVM,11
0.7226261291033267,0.6038360033965352,0.789354855195237,0.5923223646501454,0.8036496226593881,VT,PCA,SVM,12
0.7530293016082837,0.6251545414560336,0.8136324440270918,0.5985409775637138,0.8272400886369015,VT,PCA,SVM,13
0.742617893345086,0.6998553813872243,0.8035813268558553,0.672700074882637,0.9313244659434818,VT,PCA,SVM,14
0.7238871749669458,0.6780376077270037,0.7889380358213773,0.6588779299644287,0.9142089559212722,VT,PCA,SVM,15
0.8946904604538445,0.7260736114587498,0.9156567379026898,0.6757853460892547,0.8460459725163928,VT,PCA,RF,1
0.8869795109054858,0.6930995149689729,0.9078619707494746,0.64672481949689,0.8375483380003401,VT,PCA,RF,2
0.9127561136814276,0.7320354010611301,0.9291713654443325,0.6812034170316454,0.8483969286859167,VT,PCA,RF,3
0.9021595416483033,0.8142268284181202,0.9193652211208018,0.7572191736351687,0.9578201603766792,VT,PCA,RF,4
0.9078889378580872,0.8382242658264892,0.9249079858473711,0.7811909810789448,0.9747655053207135,VT,PCA,RF,5
0.9125358008371888,0.7210831703406466,0.9283032524222884,0.6729222391914407,0.8393732742252871,VT,PCA,RF,6
0.9043842256003525,0.7121750495267032,0.9215067244542636,0.6580519653559661,0.8451814054929814,VT,PCA,RF,7
0.9114342366159948,0.7350664003884467,0.9288636120864113,0.6912255739226308,0.8446607145114235,VT,PCA,RF,8
0.9061260467166152,0.8242158145461538,0.9239743035204145,0.7631709890620199,0.9776574395679593,VT,PCA,RF,9
0.9037020713970912,0.731551277375881,0.9220249399547013,0.6828466442821294,0.851393091501331,VT,PCA,RF,10
0.9039435999118749,0.7139225910656697,0.9235385169306473,0.6684940824010747,0.848696673523055,VT,PCA,RF,11
0.896452963207755,0.7029799840586953,0.9164823554012924,0.6529880985797731,0.8390319306895121,VT,PCA,RF,12
0.9094514210178454,0.7208395122009348,0.92518164691673,0.6662594464034685,0.8498592916059722,VT,PCA,RF,13
0.8995152049360952,0.7937101802318064,0.9168447991585641,0.7192381642688147,0.9727178977270664,VT,PCA,RF,14
0.9094314676068753,0.824421389303206,0.926685667360692,0.7645863118843697,0.9756503233983814,VT,PCA,RF,15
0.896452963207755,0.734407304740653,0.9168455806237661,0.687075982972671,0.8517587939698492,VT,PCA,ET,1
0.8935888962326504,0.6980953102335541,0.9132889670146216,0.643499003011166,0.8440288869803181,VT,PCA,ET,2
0.9140779907468606,0.7222312871290156,0.929751080622494,0.6668676877991209,0.8506026312113998,VT,PCA,ET,3
0.9048038783605112,0.818951719181301,0.9214784881974895,0.7589133217609859,0.9582914751587823,VT,PCA,ET,4
0.9160423093873953,0.8403380948092262,0.931770878612835,0.7826225687667839,0.9762415495222533,VT,PCA,ET,5
0.9120951751487112,0.7235313992545164,0.9280566742846498,0.6759014501366252,0.8430724785394614,VT,PCA,ET,6
0.8999779687155761,0.7072271796114662,0.9185845843123978,0.6515588887007565,0.8410461458614906,VT,PCA,ET,7
0.9019607843137255,0.7229378868045517,0.9216682395229354,0.6669657207759968,0.8510478329970316,VT,PCA,ET,8
0.9089907448215073,0.7282260841478057,0.9253216250677183,0.6770622210283316,0.8558884944900573,VT,PCA,ET,9
