FS,FE,Classifier,fold,accuracy,macro_f1,weighted_f1
ANOVA,ICA,NB,1,0.7739,0.6167,0.7583
ANOVA,ICA,NB,2,0.7669,0.6401,0.765
ANOVA,ICA,NB,3,0.7984,0.6501,0.7891
ANOVA,ICA,NB,4,0.7895,0.6417,0.7826
ANOVA,ICA,NB,5,0.7805,0.6279,0.7774
ANOVA,ICA,SVM,1,0.8801,0.733,0.8715
ANOVA,ICA,SVM,2,0.8896,0.7386,0.8754
ANOVA,ICA,SVM,3,0.8584,0.7164,0.8492
ANOVA,ICA,SVM,4,0.8835,0.7317,0.8708
ANOVA,ICA,SVM,5,0.87,0.7219,0.8621
ANOVA,ICA,RF,1,0.9189,0.7813,0.9112
ANOVA,ICA,RF,2,0.9151,0.762,0.9033
ANOVA,ICA,RF,3,0.928,0.772,0.916
ANOVA,ICA,RF,4,0.9335,0.7829,0.9211
ANOVA,ICA,RF,5,0.9332,0.7905,0.9272
ANOVA,ICA,ET,1,0.9272,0.8019,0.9303
ANOVA,ICA,ET,2,0.9235,0.7719,0.9128
ANOVA,ICA,ET,3,0.953,0.795,0.9353
ANOVA,ICA,ET,4,0.9558,0.8058,0.9516
ANOVA,ICA,ET,5,0.9368,0.7936,0.9293
ANOVA,ICA,GB,1,0.9125,0.7598,0.8998
ANOVA,ICA,GB,2,0.9072,0.7708,0.9048
ANOVA,ICA,GB,3,0.9124,0.7624,0.8985
ANOVA,ICA,GB,4,0.9151,0.7668,0.9059
ANOVA,ICA,GB,5,0.9413,0.781,0.9291
ANOVA,ICA,XGB,1,0.9367,0.7775,0.9245
ANOVA,ICA,XGB,2,0.9319,0.7758,0.9208
ANOVA,ICA,XGB,3,0.9203,0.7657,0.9088
ANOVA,ICA,XGB,4,0.9014,0.7614,0.8907
ANOVA,ICA,XGB,5,0.9331,0.7868,0.9299
ANOVA,ICA,LGBM,1,0.9122,0.7665,0.9099
ANOVA,ICA,LGBM,2,0.9265,0.7709,0.9119
ANOVA,ICA,LGBM,3,0.9063,0.7455,0.8862
ANOVA,ICA,LGBM,4,0.917,0.7638,0.9022
ANOVA,ICA,LGBM,5,0.9209,0.7624,0.9082
ANOVA,ICA,CAT,1,0.9075,0.7643,0.9048
ANOVA,ICA,CAT,2,0.9221,0.7895,0.9211
ANOVA,ICA,CAT,3,0.9212,0.7686,0.9046
ANOVA,ICA,CAT,4,0.9366,0.7798,0.9213
ANOVA,ICA,CAT,5,0.9159,0.773,0.9101
ANOVA,ICA,STACK,1,0.9773,0.8178,0.966
ANOVA,ICA,STACK,2,0.9456,0.8038,0.9412
ANOVA,ICA,STACK,3,0.9607,0.8173,0.952
ANOVA,ICA,STACK,4,0.9261,0.7983,0.9288
ANOVA,ICA,STACK,5,0.9506,0.8011,0.9422
ANOVA,SVD,DT,1,0.8377,0.6978,0.8324
ANOVA,SVD,DT,2,0.8506,0.6893,0.8304
ANOVA,SVD,DT,3,0.8482,0.6986,0.8318
ANOVA,SVD,DT,4,0.8406,0.69,0.8328
ANOVA,SVD,DT,5,0.8642,0.7008,0.858
ANOVA,SVD,LR,1,0.8559,0.7041,0.846
ANOVA,SVD,LR,2,0.8554,0.7059,0.8425
ANOVA,SVD,LR,3,0.8603,0.7208,0.856
ANOVA,SVD,LR,4,0.8747,0.7283,0.8612
ANOVA,SVD,LR,5,0.8627,0.7144,0.8489
ANOVA,SVD,KNN,1,0.8666,0.729,0.8635
ANOVA,SVD,KNN,2,0.9015,0.7483,0.8861
ANOVA,SVD,KNN,3,0.892,0.7319,0.875
ANOVA,SVD,KNN,4,0.8818,0.7391,0.8735
ANOVA,SVD,KNN,5,0.9043,0.7526,0.8963
ANOVA,SVD,NB,1,0.7543,0.5926,0.7361
ANOVA,SVD,NB,2,0.7777,0.6265,0.7686
ANOVA,SVD,NB,3,0.741,0.6021,0.7393
ANOVA,SVD,NB,4,0.7931,0.6313,0.7712
ANOVA,SVD,NB,5,0.7605,0.6093,0.7412
ANOVA,SVD,SVM,1,0.8475,0.6914,0.8292
ANOVA,SVD,SVM,2,0.8545,0.7146,0.8445
ANOVA,SVD,SVM,3,0.8509,0.6891,0.8318
ANOVA,SVD,SVM,4,0.8476,0.6948,0.8423
ANOVA,SVD,SVM,5,0.8653,0.7217,0.8576
ANOVA,SVD,RF,1,0.9137,0.763,0.896
ANOVA,SVD,RF,2,0.8959,0.7493,0.8924
ANOVA,SVD,RF,3,0.9091,0.7611,0.901
ANOVA,SVD,RF,4,0.9169,0.7649,0.8993
ANOVA,SVD,RF,5,0.9081,0.762,0.8881
ANOVA,SVD,ET,1,0.9314,0.7745,0.9223
ANOVA,SVD,ET,2,0.8891,0.7474,0.8853
ANOVA,SVD,ET,3,0.9182,0.7696,0.9072
ANOVA,SVD,ET,4,0.9003,0.7524,0.8926
ANOVA,SVD,ET,5,0.9157,0.7763,0.9079
ANOVA,SVD,GB,1,0.9144,0.7666,0.9007
ANOVA,SVD,GB,2,0.9182,0.7633,0.9033
ANOVA,SVD,GB,3,0.9164,0.7604,0.9083
ANOVA,SVD,GB,4,0.8992,0.7489,0.8929
ANOVA,SVD,GB,5,0.8853,0.7505,0.887
ANOVA,SVD,XGB,1,0.92,0.7633,0.9119
ANOVA,SVD,XGB,2,0.9049,0.7608,0.8986
ANOVA,SVD,XGB,3,0.9278,0.7614,0.9067
ANOVA,SVD,XGB,4,0.9063,0.7683,0.9035
ANOVA,SVD,XGB,5,0.9216,0.7731,0.9147
ANOVA,SVD,LGBM,1,0.8916,0.7394,0.8754
ANOVA,SVD,LGBM,2,0.8971,0.7498,0.8828
ANOVA,SVD,LGBM,3,0.9047,0.7531,0.8916
ANOVA,SVD,LGBM,4,0.8894,0.7417,0.8865
ANOVA,SVD,LGBM,5,0.882,0.741,0.8741
ANOVA,SVD,CAT,1,0.9006,0.7524,0.8906
ANOVA,SVD,CAT,2,0.9175,0.7655,0.9063
ANOVA,SVD,CAT,3,0.9174,0.776,0.9147
ANOVA,SVD,CAT,4,0.9296,0.7695,0.9187
ANOVA,SVD,CAT,5,0.916,0.7684,0.9051
ANOVA,SVD,STACK,1,0.9456,0.7964,0.9383
ANOVA,SVD,STACK,2,0.9618,0.8063,0.9472
ANOVA,SVD,STACK,3,0.9531,0.7941,0.9384
ANOVA,SVD,STACK,4,0.9528,0.7878,0.932
ANOVA,SVD,STACK,5,0.9722,0.81,0.9538
Chi2,None,DT,1,0.8647,0.7069,0.8543
Chi2,None,DT,2,0.8578,0.7021,0.843
Chi2,None,DT,3,0.8795,0.713,0.8627
Chi2,None,DT,4,0.8629,0.7072,0.8523
Chi2,None,DT,5,0.8607,0.7145,0.8529
Chi2,None,LR,1,0.8691,0.7178,0.8556
Chi2,None,LR,2,0.8987,0.7443,0.8916
Chi2,None,LR,3,0.8797,0.7288,0.8645
Chi2,None,LR,4,0.8535,0.7135,0.8467
Chi2,None,LR,5,0.8811,0.7325,0.8709
Chi2,None,KNN,1,0.9065,0.7605,0.9016
Chi2,None,KNN,2,0.9109,0.7566,0.8995
Chi2,None,KNN,3,0.9217,0.7709,0.9072
Chi2,None,KNN,4,0.9253,0.7747,0.914
Chi2,None,KNN,5,0.9169,0.7623,0.9049
Chi2,None,NB,1,0.8016,0.6447,0.7873
Chi2,None,NB,2,0.7803,0.6333,0.7681
Chi2,None,NB,3,0.7701,0.6277,0.7645
Chi2,None,NB,4,0.7865,0.6293,0.7663
Chi2,None,NB,5,0.7982,0.646,0.7846
Chi2,None,SVM,1,0.8899,0.7316,0.8707
Chi2,None,SVM,2,0.8697,0.7292,0.8687
Chi2,None,SVM,3,0.8597,0.7103,0.8519
Chi2,None,SVM,4,0.8671,0.7198,0.8559
Chi2,None,SVM,5,0.8559,0.7154,0.8477
Chi2,None,RF,1,0.9236,0.7743,0.9065
Chi2,None,RF,2,0.9314,0.7792,0.9176
Chi2,None,RF,3,0.9256,0.7792,0.923
Chi2,None,RF,4,0.9298,0.7696,0.9124
Chi2,None,RF,5,0.9273,0.7803,0.9214
Chi2,None,ET,1,0.9354,0.7897,0.9262
Chi2,None,ET,2,0.9383,0.7972,0.9272
Chi2,None,ET,3,0.9344,0.782,0.9187
Chi2,None,ET,4,0.9388,0.793,0.9376
Chi2,None,ET,5,0.9307,0.7859,0.9236
Chi2,None,GB,1,0.9233,0.7744,0.9189
Chi2,None,GB,2,0.9099,0.7604,0.8941
Chi2,None,GB,3,0.9127,0.7649,0.9043
Chi2,None,GB,4,0.9141,0.7604,0.9022
Chi2,None,GB,5,0.9268,0.7794,0.9183
Chi2,None,XGB,1,0.9366,0.7741,0.9216
Chi2,None,XGB,2,0.9299,0.7796,0.9228
Chi2,None,XGB,3,0.9457,0.8005,0.9376
Chi2,None,XGB,4,0.9355,0.7763,0.9248
Chi2,None,XGB,5,0.9342,0.7908,0.9303
Chi2,None,LGBM,1,0.918,0.7778,0.9146
Chi2,None,LGBM,2,0.9278,0.7658,0.909
Chi2,None,LGBM,3,0.8998,0.7561,0.8851
Chi2,None,LGBM,4,0.9223,0.773,0.9102
Chi2,None,LGBM,5,0.9362,0.7773,0.9269
Chi2,None,CAT,1,0.938,0.7928,0.9305
Chi2,None,CAT,2,0.9222,0.7842,0.9187
Chi2,None,CAT,3,0.9304,0.7896,0.9198
Chi2,None,CAT,4,0.9182,0.7768,0.9149
Chi2,None,CAT,5,0.9005,0.7596,0.8963
Chi2,None,STACK,1,0.9525,0.8057,0.9462
Chi2,None,STACK,2,0.9469,0.7993,0.9407
Chi2,None,STACK,3,0.9503,0.8004,0.9389
Chi2,None,STACK,4,0.9828,0.8311,0.9792
Chi2,None,STACK,5,0.9499,0.7968,0.9371
Chi2,PCA,DT,1,0.8754,0.7087,0.8595
Chi2,PCA,DT,2,0.8698,0.7264,0.8643
Chi2,PCA,DT,3,0.8424,0.6993,0.8387
Chi2,PCA,DT,4,0.8562,0.7037,0.8415
Chi2,PCA,DT,5,0.846,0.7053,0.8382
Chi2,PCA,LR,1,0.8701,0.7219,0.8647
Chi2,PCA,LR,2,0.8859,0.7265,0.8734
Chi2,PCA,LR,3,0.8671,0.7224,0.8601
Chi2,PCA,LR,4,0.851,0.6997,0.8427
Chi2,PCA,LR,5,0.8701,0.7215,0.864
Chi2,PCA,KNN,1,0.9182,0.7602,0.9007
Chi2,PCA,KNN,2,0.9019,0.7517,0.8933
Chi2,PCA,KNN,3,0.9016,0.7648,0.8942
Chi2,PCA,KNN,4,0.8853,0.7469,0.8793
Chi2,PCA,KNN,5,0.8722,0.7283,0.8692
Chi2,PCA,NB,1,0.7682,0.6237,0.7624
Chi2,PCA,NB,2,0.7526,0.6045,0.741
Chi2,PCA,NB,3,0.7681,0.6187,0.7621
Chi2,PCA,NB,4,0.7806,0.6361,0.7749
Chi2,PCA,NB,5,0.7894,0.6331,0.7799
Chi2,PCA,SVM,1,0.8552,0.7052,0.8497
Chi2,PCA,SVM,2,0.862,0.7194,0.8524
Chi2,PCA,SVM,3,0.857,0.7101,0.8562
Chi2,PCA,SVM,4,0.8618,0.7123,0.8517
Chi2,PCA,SVM,5,0.8423,0.7012,0.8346
Chi2,PCA,RF,1,0.9255,0.7676,0.915
Chi2,PCA,RF,2,0.9154,0.77,0.9134
Chi2,PCA,RF,3,0.9363,0.7772,0.9218
Chi2,PCA,RF,4,0.9056,0.7667,0.9005
Chi2,PCA,RF,5,0.9315,0.7725,0.9152
Chi2,PCA,ET,1,0.9497,0.7952,0.9396
Chi2,PCA,ET,2,0.9367,0.7826,0.9215
Chi2,PCA,ET,3,0.9307,0.7859,0.927
Chi2,PCA,ET,4,0.939,0.7905,0.9228
Chi2,PCA,ET,5,0.9317,0.7898,0.9219
Chi2,PCA,GB,1,0.8996,0.7476,0.8869
Chi2,PCA,GB,2,0.9031,0.7586,0.8918
Chi2,PCA,GB,3,0.9072,0.7626,0.9025
Chi2,PCA,GB,4,0.9071,0.7565,0.8978
Chi2,PCA,GB,5,0.9314,0.7811,0.9224
Chi2,PCA,XGB,1,0.9214,0.7748,0.9093
Chi2,PCA,XGB,2,0.9332,0.7862,0.9217
Chi2,PCA,XGB,3,0.9274,0.7777,0.9092
Chi2,PCA,XGB,4,0.9098,0.7596,0.8979
Chi2,PCA,XGB,5,0.9224,0.7677,0.9117
Chi2,PCA,LGBM,1,0.9234,0.7657,0.9061
Chi2,PCA,LGBM,2,0.8902,0.7398,0.8817
Chi2,PCA,LGBM,3,0.8935,0.7504,0.8864
Chi2,PCA,LGBM,4,0.9105,0.7658,0.9013
Chi2,PCA,LGBM,5,0.9125,0.7628,0.897
Chi2,PCA,CAT,1,0.9454,0.7942,0.9308
Chi2,PCA,CAT,2,0.9187,0.7669,0.9096
Chi2,PCA,CAT,3,0.9444,0.7921,0.9305
Chi2,PCA,CAT,4,0.9099,0.7761,0.9107
Chi2,PCA,CAT,5,0.9273,0.7758,0.92
Chi2,PCA,STACK,1,0.9528,0.7937,0.9386
Chi2,PCA,STACK,2,0.9569,0.8096,0.9509
Chi2,PCA,STACK,3,0.9276,0.7878,0.9179
Chi2,PCA,STACK,4,0.9712,0.8192,0.9616
Chi2,PCA,STACK,5,0.9315,0.7848,0.9215
Chi2,LDA,DT,1,0.9215,0.7678,0.9123
Chi2,LDA,DT,2,0.9254,0.777,0.9164
Chi2,LDA,DT,3,0.9274,0.7826,0.9188
Chi2,LDA,DT,4,0.9129,0.7571,0.8976
Chi2,LDA,DT,5,0.9357,0.7768,0.9205
Chi2,LDA,LR,1,0.9421,0.7863,0.93
Chi2,LDA,LR,2,0.9276,0.7702,0.9129
Chi2,LDA,LR,3,0.9277,0.7711,0.9123
Chi2,LDA,LR,4,0.92,0.7763,0.9097
Chi2,LDA,LR,5,0.9408,0.7959,0.9314
Chi2,LDA,KNN,1,0.9519,0.8025,0.9407
Chi2,LDA,KNN,2,0.9676,0.8248,0.9612
Chi2,LDA,KNN,3,0.9381,0.8013,0.9358
Chi2,LDA,KNN,4,0.9512,0.8015,0.941
Chi2,LDA,KNN,5,0.9637,0.8217,0.9576
Chi2,LDA,NB,1,0.8226,0.6724,0.8134
Chi2,LDA,NB,2,0.8384,0.6878,0.8238
Chi2,LDA,NB,3,0.835,0.6894,0.8281
Chi2,LDA,NB,4,0.8378,0.6818,0.8179
Chi2,LDA,NB,5,0.829,0.6814,0.8254
Chi2,LDA,SVM,1,0.9085,0.7525,0.8959
Chi2,LDA,SVM,2,0.9062,0.7624,0.8996
Chi2,LDA,SVM,3,0.9192,0.7723,0.9169
Chi2,LDA,SVM,4,0.9178,0.7748,0.9104
Chi2,LDA,SVM,5,0.9258,0.7684,0.9016
Chi2,LDA,RF,1,1.0113,0.8542,0.998
Chi2,LDA,RF,2,0.9815,0.8196,0.9715
Chi2,LDA,RF,3,0.9861,0.8288,0.9748
Chi2,LDA,RF,4,0.9693,0.8222,0.9611
Chi2,LDA,RF,5,0.9861,0.8306,0.9734
Chi2,LDA,ET,1,1.0078,0.853,0.993
Chi2,LDA,ET,2,1.0045,0.8571,0.9909
Chi2,LDA,ET,3,0.9797,0.8293,0.9617
Chi2,LDA,ET,4,1.0016,0.8514,0.994
Chi2,LDA,ET,5,0.9985,0.855,0.9882
Chi2,LDA,GB,1,0.9737,0.8249,0.9713
Chi2,LDA,GB,2,0.9415,0.7894,0.9299
Chi2,LDA,GB,3,0.9671,0.8217,0.9574
Chi2,LDA,GB,4,0.9612,0.8046,0.9467
Chi2,LDA,GB,5,0.952,0.8127,0.9427
Chi2,LDA,XGB,1,0.9841,0.828,0.9676
Chi2,LDA,XGB,2,0.9937,0.8314,0.9818
Chi2,LDA,XGB,3,0.9743,0.8191,0.9648
Chi2,LDA,XGB,4,0.9771,0.8251,0.9665
Chi2,LDA,XGB,5,0.9659,0.8144,0.9502
Chi2,LDA,LGBM,1,0.9801,0.8218,0.965
Chi2,LDA,LGBM,2,0.9812,0.8379,0.9747
Chi2,LDA,LGBM,3,0.9532,0.8108,0.9478
Chi2,LDA,LGBM,4,0.9722,0.8198,0.9593
Chi2,LDA,LGBM,5,0.9566,0.8081,0.9448
Chi2,LDA,CAT,1,0.9724,0.837,0.9654
Chi2,LDA,CAT,2,0.9695,0.8275,0.9573
Chi2,LDA,CAT,3,0.9745,0.842,0.9723
Chi2,LDA,CAT,4,0.9888,0.8395,0.9852
Chi2,LDA,CAT,5,0.9722,0.8201,0.9634
Chi2,LDA,STACK,1,1.0142,0.8548,1.0028
Chi2,LDA,STACK,2,0.986,0.8418,0.9831
Chi2,LDA,STACK,3,1.0245,0.8674,1.0123
Chi2,LDA,STACK,4,1.0327,0.8693,1.0191
Chi2,LDA,STACK,5,1.0019,0.8563,0.9908
Chi2,ICA,DT,1,0.8601,0.7196,0.8525
Chi2,ICA,DT,2,0.8582,0.7122,0.8457
Chi2,ICA,DT,3,0.8736,0.7252,0.8637
Chi2,ICA,DT,4,0.8614,0.7105,0.8514
Chi2,ICA,DT,5,0.8704,0.7295,0.8713
Chi2,ICA,LR,1,0.9004,0.7591,0.8976
Chi2,ICA,LR,2,0.8851,0.7411,0.8748
Chi2,ICA,LR,3,0.893,0.7454,0.8788
Chi2,ICA,LR,4,0.8951,0.7413,0.8831
Chi2,ICA,LR,5,0.905,0.7451,0.8907
Chi2,ICA,KNN,1,0.9225,0.7749,0.911
Chi2,ICA,KNN,2,0.907,0.7644,0.8972
Chi2,ICA,KNN,3,0.9164,0.7609,0.9065
Chi2,ICA,KNN,4,0.9222,0.7705,0.9143
Chi2,ICA,KNN,5,0.9163,0.7674,0.9133
Chi2,ICA,NB,1,0.7846,0.6313,0.7707
Chi2,ICA,NB,2,0.7821,0.6425,0.7767
Chi2,ICA,NB,3,0.8054,0.6569,0.7985
Chi2,ICA,NB,4,0.8106,0.6352,0.7939
Chi2,ICA,NB,5,0.775,0.6236,0.7613
Chi2,ICA,SVM,1,0.8918,0.7272,0.8729
Chi2,ICA,SVM,2,0.8807,0.7301,0.8715
Chi2,ICA,SVM,3,0.901,0.7388,0.8863
Chi2,ICA,SVM,4,0.87,0.7192,0.8629
Chi2,ICA,SVM,5,0.9052,0.7475,0.8899
Chi2,ICA,RF,1,0.9418,0.7898,0.9296
Chi2,ICA,RF,2,0.9419,0.7897,0.9376
Chi2,ICA,RF,3,0.9482,0.7969,0.9339
Chi2,ICA,RF,4,0.9269,0.772,0.9185
Chi2,ICA,RF,5,0.9303,0.7777,0.9212
Chi2,ICA,ET,1,0.9535,0.8028,0.9489
Chi2,ICA,ET,2,0.9459,0.7926,0.933
Chi2,ICA,ET,3,0.9429,0.793,0.929
Chi2,ICA,ET,4,0.9653,0.8098,0.9568
Chi2,ICA,ET,5,0.9306,0.7742,0.9168
Chi2,ICA,GB,1,0.9172,0.7653,0.9058
Chi2,ICA,GB,2,0.9315,0.7834,0.9211
Chi2,ICA,GB,3,0.9317,0.786,0.9171
Chi2,ICA,GB,4,0.9267,0.7763,0.9202
Chi2,ICA,GB,5,0.927,0.7629,0.9088
Chi2,ICA,XGB,1,0.9154,0.7714,0.9049
Chi2,ICA,XGB,2,0.9293,0.7795,0.9233
Chi2,ICA,XGB,3,0.925,0.7848,0.9259
Chi2,ICA,XGB,4,0.9498,0.7868,0.9369
Chi2,ICA,XGB,5,0.9456,0.78,0.9252
Chi2,ICA,LGBM,1,0.9365,0.7927,0.9298
Chi2,ICA,LGBM,2,0.9212,0.7763,0.911
Chi2,ICA,LGBM,3,0.9172,0.7699,0.9056
Chi2,ICA,LGBM,4,0.9341,0.7744,0.9133
Chi2,ICA,LGBM,5,0.9418,0.7837,0.9296
Chi2,ICA,CAT,1,0.9365,0.796,0.9293
Chi2,ICA,CAT,2,0.9341,0.7874,0.9251
Chi2,ICA,CAT,3,0.9439,0.7916,0.9305
Chi2,ICA,CAT,4,0.9429,0.7875,0.9329
Chi2,ICA,CAT,5,0.9239,0.7841,0.9178
Chi2,ICA,STACK,1,0.9671,0.8175,0.9635
Chi2,ICA,STACK,2,0.9758,0.8304,0.9699
Chi2,ICA,STACK,3,0.95,0.8068,0.9496
Chi2,ICA,STACK,4,0.9624,0.8154,0.9532
Chi2,ICA,STACK,5,0.9733,0.8258,0.9627
Chi2,SVD,DT,1,0.8512,0.6978,0.8381
Chi2,SVD,DT,2,0.8588,0.7065,0.8483
Chi2,SVD,DT,3,0.8553,0.7066,0.8463
Chi2,SVD,DT,4,0.8349,0.6903,0.8228
Chi2,SVD,DT,5,0.8379,0.6891,0.8349
Chi2,SVD,LR,1,0.8695,0.7203,0.8627
Chi2,SVD,LR,2,0.8793,0.7316,0.8648
Chi2,SVD,LR,3,0.8758,0.7215,0.8607
Chi2,SVD,LR,4,0.8764,0.7254,0.8594
Chi2,SVD,LR,5,0.8813,0.73,0.8706
Chi2,SVD,KNN,1,0.9247,0.7634,0.9117
Chi2,SVD,KNN,2,0.8931,0.7384,0.879
Chi2,SVD,KNN,3,0.8857,0.7417,0.8756
Chi2,SVD,KNN,4,0.9092,0.7511,0.893
Chi2,SVD,KNN,5,0.8776,0.7282,0.8687
Chi2,SVD,NB,1,0.7761,0.6202,0.761
Chi2,SVD,NB,2,0.7758,0.6256,0.7654
Chi2,SVD,NB,3,0.777,0.6211,0.7604
Chi2,SVD,NB,4,0.7519,0.6009,0.7339
Chi2,SVD,NB,5,0.7847,0.6257,0.7689
Chi2,SVD,SVM,1,0.8412,0.6898,0.837
Chi2,SVD,SVM,2,0.8496,0.7002,0.8454
Chi2,SVD,SVM,3,0.8692,0.7153,0.8624
Chi2,SVD,SVM,4,0.862,0.7041,0.8475
Chi2,SVD,SVM,5,0.8636,0.7134,0.8455
Chi2,SVD,RF,1,0.9099,0.7762,0.9044
Chi2,SVD,RF,2,0.9068,0.7594,0.8955
Chi2,SVD,RF,3,0.9245,0.7628,0.909
Chi2,SVD,RF,4,0.9155,0.7707,0.9055
Chi2,SVD,RF,5,0.9276,0.7741,0.9199
Chi2,SVD,ET,1,0.9235,0.7808,0.9158
Chi2,SVD,ET,2,0.9479,0.7917,0.9397
Chi2,SVD,ET,3,0.9159,0.7774,0.9136
Chi2,SVD,ET,4,0.9391,0.7837,0.9261
Chi2,SVD,ET,5,0.9337,0.7803,0.9229
Chi2,SVD,GB,1,0.9316,0.7724,0.9143
Chi2,SVD,GB,2,0.9163,0.7707,0.9125
Chi2,SVD,GB,3,0.9264,0.7652,0.9068
Chi2,SVD,GB,4,0.9078,0.7674,0.9018
Chi2,SVD,GB,5,0.9127,0.7696,0.9087
Chi2,SVD,XGB,1,0.9268,0.7749,0.9174
Chi2,SVD,XGB,2,0.9374,0.7786,0.9181
Chi2,SVD,XGB,3,0.9185,0.759,0.9036
Chi2,SVD,XGB,4,0.93,0.7827,0.922
Chi2,SVD,XGB,5,0.9372,0.7874,0.9301
Chi2,SVD,LGBM,1,0.9296,0.7683,0.9163
Chi2,SVD,LGBM,2,0.8999,0.7527,0.8976
Chi2,SVD,LGBM,3,0.9215,0.7678,0.9127
Chi2,SVD,LGBM,4,0.9108,0.7628,0.9035
Chi2,SVD,LGBM,5,0.8969,0.7514,0.89
Chi2,SVD,CAT,1,0.9374,0.7851,0.9184
Chi2,SVD,CAT,2,0.9111,0.7676,0.9038
Chi2,SVD,CAT,3,0.9035,0.7596,0.8894
Chi2,SVD,CAT,4,0.9077,0.7685,0.9043
Chi2,SVD,CAT,5,0.9146,0.7644,0.8981
Chi2,SVD,STACK,1,0.9218,0.781,0.9162
Chi2,SVD,STACK,2,0.9553,0.8048,0.946
Chi2,SVD,STACK,3,0.9463,0.7983,0.9403
Chi2,SVD,STACK,4,0.9509,0.8048,0.9382
Chi2,SVD,STACK,5,0.9445,0.7949,0.9406
